location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
United Arab Emirates,Asia,9890400.0,77.97,1.2,67293.483,665559464263.2,71540.0,387.0,7177430.0,725696.6351209254,7233.276712771981,39.12885222033487
United Kingdom,Europe,67886004.0,81.32,2.54,39753.244,2698688881196.976,338676.0,41514.0,13447568.0,198090.43407533606,4988.892850432027,611.5251679860255
United States,North America,331002647.0,78.86,2.77,54225.446,17948766160755.562,6114406.0,185744.0,83898416.0,253467.50776890313,18472.377956542445,561.1556332961893
United States Virgin Islands,North America,104423.0,80.58,,,,1144.0,15.0,,,10955.440851153482,143.6465146567327
Uruguay,South America,3473727.0,77.91,2.8,20551.409,71389984331.343,1626.0,44.0,175080.0,50401.19733070561,468.0851431330096,12.666510638285622
Uzbekistan,Asia,33469199.0,71.72,4.0,6253.104,209286382143.696,42540.0,329.0,,,1271.0193632061525,9.829933486009033
Vatican,Europe,809.0,75.12,,,,12.0,0.0,,,14833.127317676144,0.0
Venezuela,South America,28435943.0,72.06,0.8,16745.022,476160491125.74603,48883.0,398.0,,,1719.0567585537783,13.996370719972255
Vietnam,Asia,97338583.0,75.4,2.6,6171.884,600762443000.372,1046.0,35.0,261004.0,2681.4033239008627,10.745995757920577,0.3595696477315681
Western Sahara,Africa,597330.0,70.26,,,,766.0,1.0,,,1282.3732275291716,1.674116485025028
Yemen,Asia,29825968.0,66.12,0.7,1479.1470000000004,44116991089.29601,1976.0,571.0,,,66.2509930943398,19.144391223111352
Zambia,Africa,18383956.0,63.89,2.0,3689.251,67823028056.956,12415.0,292.0,,,675.3171080261507,15.883414864569954
Zimbabwe,Africa,14862927.0,61.49,1.7,1899.775,28236217141.425003,6638.0,206.0,97272.0,6544.605917798021,446.6145867499719,13.85998868190633
